id_tov,Наименование,Категория,Группа,Кол-во чеков за месяц,Единица измерения,Кол-во за месяц,Среднее кол-во за месяц,Сумма продаж за месяц
23 074,Манго Египет,Овощи. Фрукты. Грибы. Зелень,Манго (все виды),8352,кг,6972.48,0.83,2194135.41
731,Бананы,Овощи. Фрукты. Грибы. Зелень,Банан,6869,кг,6338.46,0.92,952972.7
647,"Пакет-майка ""ВкусВилл"" малый",Нон-Фуд,"Сумки, пакеты, упаковка",87843,шт,96923.00,1.10,756861.36
19 419,Бедро цыпленка-бройлера бескостное (филе бедра),Мясо. Птица. П/ф охл. Яйца,Курица бескостное мясо,1504,кг,1438.22,0.96,723763.71
669,Арбуз,Овощи. Фрукты. Грибы. Зелень,Бахчевые,1621,кг,11265.38,6.95,683772.7
488,Филе грудки цыпленка-бройлера,Мясо. Птица. П/ф охл. Яйца,Курица бескостное мясо,1314,кг,1241.24,0.94,616319.03
22 658,Яйцо куриное С0,Мясо. Птица. П/ф охл. Яйца,Яйца,2790,упак,3147.00,1.13,485488
16 306,"Масло сливочное 82,5%, 200 г",Молочная Продукция,Масло,1497,шт,1714.00,1.14,425423.71
36 296,"Молоко 2,5% в бутылке, 900 мл",Молочная Продукция,Молоко пастеризованное,3967,шт,5000.00,1.26,407427.92
64 336,Картофель молодой,Овощи. Фрукты. Грибы. Зелень,Картофель подгруппа,3508,кг,5922.67,1.69,389319.41
22 564,Томаты Махитос,Овощи. Фрукты. Грибы. Зелень,Томаты,1603,кг,1043.58,0.65,375737.35
21 270,"Авокадо Хасс, 2 шт",Овощи. Фрукты. Грибы. Зелень,Авокадо,1538,шт,1523.00,0.99,330377.52
668,Дыня Торпеда,Овощи. Фрукты. Грибы. Зелень,Бахчевые,697,кг,2778.11,3.99,310745.27
20 969,Котлета куриная с картофельным пюре,Кулинария,Вторые блюда птица,1130,шт,1306.00,1.16,297558.93
665,Дыня Колхозница,Овощи. Фрукты. Грибы. Зелень,Бахчевые,1054,кг,1907.50,1.81,283642.22
1 067,Филе бедра индейки,Мясо. Птица. П/ф охл. Яйца,Индейка,395,кг,400.45,1.01,281604.11
19 434,"Суп ""Куриный"" с домашней лапшой",Кулинария,Супы,1438,шт,1692.00,1.18,280639.88
72 834,"Торт ""Белые ночи"" с сырным кремом","Торты, пирожные, десерты",Торты,491,шт,500.00,1.02,278495.1
28 740,"Огурцы корнишоны, 300 г",Овощи. Фрукты. Грибы. Зелень,Огурцы,1099,шт,1176.00,1.07,277633.75
18 825,"Торт ""Маракуйя""","Торты, пирожные, десерты",Торты,491,шт,518.00,1.05,267023.34
484,"Тушка цыпленка-бройлера, охлажденная",Мясо. Птица. П/ф охл. Яйца,"Курица тушка, разделка",525,кг,1002.87,1.91,265119.15
37 018,"Фарш из индейки, 500 г",Мясо. Птица. П/ф охл. Яйца,Фарш птица,761,шт,863.00,1.13,262745.2
43 240,"Плов с курицей, 600 г",Кулинария,Семейный формат вторые блюда,710,шт,752.00,1.06,253590
185,"Творог 5%, 400 г",Молочная Продукция,Творог классика,1192,шт,1434.00,1.20,240840.02
82 910,"Томаты черри ""Карамелька"", 250 г",Овощи. Фрукты. Грибы. Зелень,Томаты черри,821,шт,868.00,1.06,231633.28
37 174,"Торт домашний ""Наполеон""","Торты, пирожные, десерты",Торты,398,шт,406.00,1.02,227971.32
1 066,Филе грудки индейки,Мясо. Птица. П/ф охл. Яйца,Индейка,400,кг,336.34,0.84,227103.29
52 845,"Малина фермерская, 125 г",Овощи. Фрукты. Грибы. Зелень,Малина.,635,шт,689.00,1.09,221320
33 154,Вода питьевая Святой Источник негазированная 5 л,Мировые бренды,Вода (МБ),1033,шт,1619.00,1.57,218775
15 544,Яйцо куриное С1,Мясо. Птица. П/ф охл. Яйца,Яйца,1468,упак,1568.00,1.07,217721.4
143,"Сметана 20%, 350 г",Молочная Продукция,Сметана,1433,шт,1560.00,1.09,217007.01
